GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Shot Type,Running Reverse Layup Shot,19,31,0.613,0,0,0.0,0.613,1,0.684,0.316,0.0,0.0,0.684,0.316,31,29,30,11,13,11,32,24,19,29,11,8,20,28,174,Running Reverse Layup Shot
Shot Type,Step Back Bank Jump Shot,1,2,0.5,0,0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.0,1.0,46,45,41,11,13,11,41,1,40,1,11,8,41,1,174,Step Back Bank Jump Shot
Shot Type,Step Back Jump shot,92,165,0.558,45,79,0.57,0.694,1,0.255,0.745,0.644,0.356,0.446,0.554,8,6,33,4,3,7,26,24,39,9,6,5,33,15,174,Step Back Jump shot
Shot Type,Tip Dunk Shot,7,8,0.875,0,0,0.0,0.875,0,0.0,1.0,0.0,0.0,0.0,1.0,39,39,12,11,13,11,14,1,40,1,11,8,41,1,174,Tip Dunk Shot
Shot Type,Tip Layup Shot,49,128,0.383,0,0,0.0,0.383,2,0.0,1.0,0.0,0.0,0.0,1.0,19,10,46,11,13,11,47,33,40,1,11,8,41,1,174,Tip Layup Shot
Shot Type,Turnaround Bank Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48,48,48,11,13,11,48,1,40,40,11,8,41,40,174,Turnaround Bank Hook Shot
Shot Type,Turnaround Bank shot,15,21,0.714,0,0,0.0,0.714,0,0.333,0.667,0.0,0.0,0.333,0.667,33,36,23,11,13,11,25,1,37,10,11,8,38,9,174,Turnaround Bank shot
Shot Type,Turnaround Fadeaway shot,65,123,0.528,1,1,1.0,0.533,1,0.438,0.563,1.0,0.0,0.446,0.554,15,12,35,8,9,1,34,24,33,15,1,8,31,17,174,Turnaround Fadeaway shot
Shot Type,Turnaround Hook Shot,18,34,0.529,0,0,0.0,0.529,0,0.722,0.278,0.0,0.0,0.722,0.278,32,27,34,11,13,11,35,1,18,30,11,8,19,29,174,Turnaround Hook Shot
Shot Type,Turnaround Jump Shot,55,109,0.505,3,4,0.75,0.518,5,0.538,0.462,0.333,0.667,0.527,0.473,18,14,40,7,7,3,39,41,25,23,8,2,27,21,174,Turnaround Jump Shot
